Pathway Title,ID,Organism,Last Edited,Communities,Pathway Terms,Disease Terms,Cell Types
Hfe effect on hepcidin production,WP3673,Mus musculus,13 Dec 2016,,"regulatory pathway, iron homeostasis pathway",,
Lipids measured in liver metastasis from breast cancer,WP4627,Mus musculus,29 Nov 2019,,"lipid metabolic pathway, classic metabolic pathway","breast cancer, disease of cellular proliferation",
10q11.21q11.23 copy number variation syndrome,WP5352,Homo sapiens,04 Aug 2023,"Diseases, RareDiseases",disease pathway,,
10q22q23 copy number variation,WP5402,Homo sapiens,18 Aug 2023,,disease pathway,"chromosomal duplication syndrome, chromosomal deletion syndrome, genetic disease",
11p11.2 copy number variation syndrome,WP5348,Homo sapiens,05 Aug 2023,"Diseases, RareDiseases",disease pathway,,
13q12 or CRYL1 copy number variation,WP5405,Homo sapiens,07 Aug 2023,,disease pathway,"chromosomal duplication syndrome, chromosomal deletion syndrome, genetic disease",
13q12.12 copy number variation,WP5406,Homo sapiens,08 Aug 2023,,disease pathway,"chromosomal deletion syndrome, chromosomal duplication syndrome, genetic disease",
15q11.2 copy number variation syndrome,WP4940,Homo sapiens,18 Jan 2023,RareDiseases,disease pathway,"genetic disease, chromosome 15q11.2 deletion syndrome",
15q11q13 copy number variation,WP5407,Homo sapiens,10 Aug 2023,,disease pathway,"chromosomal deletion syndrome, chromosomal duplication syndrome, genetic disease",
15q13.3 copy number variation syndrome,WP4942,Homo sapiens,12 Mar 2021,RareDiseases,disease pathway,"chromosome 15q13.3 microdeletion syndrome, genetic disease",
15q25 copy number variation,WP5408,Homo sapiens,15 Aug 2023,,disease pathway,"chromosome 15q25 deletion syndrome, genetic disease",
16p11.2 distal deletion syndrome,WP4950,Homo sapiens,18 Jan 2023,RareDiseases,disease pathway,"chromosome 16p11.2 deletion syndrome, genetic disease",
16p11.2 proximal deletion syndrome,WP4949,Homo sapiens,08 Mar 2023,"Diseases, RareDiseases",disease pathway,"genetic disease, chromosome 16p11.2 deletion syndrome",
17p13.3 (YWHAE) copy number variation,WP5376,Homo sapiens,07 Oct 2023,,disease pathway,"Miller-Dieker lissencephaly syndrome, genetic disease",
17q12 copy number variation syndrome,WP5287,Homo sapiens,26 Jun 2023,"Diseases, RareDiseases",disease pathway,,
1p36 copy number variation syndrome,WP5345,Homo sapiens,04 Aug 2023,"Diseases, RareDiseases",disease pathway,"chromosome 1p36 deletion syndrome, genetic disease",
1q21.1 copy number variation syndrome,WP4905,Homo sapiens,18 Jan 2023,RareDiseases,"inborn error of metabolism pathway, congenital disease pathway, disease pathway","chromosomal disease, chromosome 1q21.1 deletion syndrome, major depressive disorder, schizophrenia, bipolar disorder, chromosome 1q21.1 duplication syndrome, genetic disease, disease of mental health",
22q11.2 copy number variation syndrome,WP4657,Homo sapiens,11 Oct 2021,RareDiseases,"disease pathway, neurological disorder pathway","velocardiofacial syndrome, genetic disease",
2q11.2 copy number variation syndrome,WP5221,Homo sapiens,27 Jul 2023,RareDiseases,disease pathway,,
2q13 copy number variation syndrome,WP5222,Homo sapiens,10 Dec 2022,RareDiseases,disease pathway,,
2q21.1 copy number variation syndrome,WP5223,Homo sapiens,27 Jul 2023,RareDiseases,disease pathway,,
2q37 copy number variation syndrome,WP5224,Homo sapiens,27 Jul 2023,RareDiseases,disease pathway,,
3q29 copy number variation syndrome,WP4906,Homo sapiens,11 Mar 2021,RareDiseases,disease pathway,"disease of mental health, chromosome 3q29 microduplication syndrome, chromosomal disease, chromosome 3q29 microdeletion syndrome, genetic disease",
"4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression",WP3879,Homo sapiens,23 Dec 2021,CPTAC,"breast cancer pathway, cancer pathway, disease pathway","breast cancer, cancer, disease of cellular proliferation",
4p16.3 copy number variation,WP5365,Homo sapiens,04 Oct 2023,,disease pathway,,
5q35 copy number variation,WP5380,Homo sapiens,04 Oct 2023,,disease pathway,"Sotos syndrome, genetic disease",
6q16 copy number variation,WP5400,Homo sapiens,03 Aug 2023,,"leptin system pathway, disease pathway, melanocortin system pathway, regulatory pathway","Down syndrome, genetic disease",
7-oxo-C and 7-beta-HC pathways,WP5064,Homo sapiens,08 May 2023,"IEM, Lipids","classic metabolic pathway, Smith-Lemli-Opitz Syndrome pathway, cholesterol metabolic pathway, disease pathway","Niemann-Pick disease type C1, Niemann-Pick disease type A, Niemann-Pick disease type B, Smith-Lemli-Opitz syndrome, Niemann-Pick disease type C2, genetic disease",
7q11.23 copy number variation syndrome,WP4932,Homo sapiens,29 Jun 2023,RareDiseases,disease pathway,"genetic disease, Williams-Beuren syndrome",
7q11.23 distal copy number variation,WP5401,Homo sapiens,09 Nov 2023,,disease pathway,,
8p23.1 copy number variation syndrome,WP5346,Homo sapiens,04 Aug 2023,"Diseases, RareDiseases",disease pathway,"chromosomal duplication syndrome, chromosomal deletion syndrome, genetic disease",
8q11.23 (RB1CC1) copy number variation,WP5412,Homo sapiens,22 Aug 2023,,disease pathway,"schizophrenia, disease of mental health",
A network map of Macrophage-stimulating protein (MSP) signaling,WP5353,Homo sapiens,10 Aug 2023,,"breast cancer pathway, cancer pathway, disease pathway",ovarian disease,
ABA biosynthesis,WP2626,Solanum lycopersicum,24 Dec 2021,,"abscisic acid biosynthetic pathway, classic metabolic pathway",,
ACE inhibitor pathway,WP1033,Bos taurus,21 May 2021,Renal_Genomics,"angiotensin signaling pathway, ACE inhibitor drug pathway, regulatory pathway, drug pathway",,
ACE inhibitor pathway,WP1151,Canis familiaris,21 May 2021,,"ACE inhibitor drug pathway, drug pathway",,
ACE inhibitor pathway,WP396,Mus musculus,14 May 2021,,"ACE inhibitor drug pathway, drug pathway",,
ACE inhibitor pathway,WP468,Danio rerio,14 May 2021,,"ACE inhibitor drug pathway, drug pathway",,
ACE inhibitor pathway,WP554,Homo sapiens,06 May 2023,Renal_Genomics,"ACE inhibitor drug pathway, signaling pathway, angiotensin signaling pathway, drug pathway, regulatory pathway","hypertension, cardiovascular system disease","mesangial cell, native cell"
ACE inhibitor pathway,WP557,Rattus norvegicus,16 May 2021,,"ACE inhibitor drug pathway, drug pathway",,
ACE inhibitor pathway,WP801,Gallus gallus,18 May 2021,,"ACE inhibitor drug pathway, drug pathway",,
ACE inhibitor pathway,WP915,Pan troglodytes,21 May 2021,,"ACE inhibitor drug pathway, drug pathway",,
ACE2 inhibition leads to pulmonary fibrosis,WP5035,Homo sapiens,05 Mar 2023,"AOP, COVID19","angiotensin II signaling pathway via AT1 receptor, regulatory pathway","COVID-19, pulmonary fibrosis, disease by infectious agent","fibroblast, animal cell"
