Source,Comment,BoardWidth,BoardHeight,TextLabel,Type,Graphics,Xref,GraphId,GroupRef,BiopaxRef,Attribute,GroupId,Style,CenterX,CenterY,PublicationXref,openControlledVocabulary,GraphRef,Href,Key,Value
WikiPathways-description,"10q11.21q11.23 copy number variation (CNV) syndrome is a rare genetic disorder caused by a deletion or duplication of genetic material on chromosome 10. The exact genetic location chr10:49,390,199-51,058,796 (GRCh37) was taken from Kirov et al. 2014 and literature cited there. 
",,,,,,,,,,,,,,,,,,,,
,,1920.6536331945977,949.7110965657492,,,,,,,,,,,,,,,,,,
,,,,MIR4294,GeneProduct,,,,,,,,,,,,,,,,
,KIAA1530,,,UVSSA,GeneProduct,,,a0f0f,,,,,,,,,,,,,
,,,,FAM170B,GeneProduct,,,a1064,,,,,,,,,,,,,
,,,,Acetylcholine,Metabolite,,,a1275,f19e4,,,,,,,,,,,,
,,,,ITCH,GeneProduct,,,a1b97,fd9aa,,,,,,,,,,,,
,,,,SIRT1,GeneProduct,,,a2942,fd9aa,,,,,,,,,,,,
,,,,cell proliferation,Pathway,,,a3522,,,,,,,,,,,,,
,,,,NOG,GeneProduct,,,a4fe5,,,,,,,,,,,,,
,,,,HSF1,GeneProduct,,,a5706,,,,,,,,,,,,,
,,,,MEN1,GeneProduct,,,a8695,,,,,,,,,,,,,
,,,,nucleotide excision repair,Pathway,,,a8fa9,,,,,,,,,,,,,
,,,,"phosphatidylinositol 3,4-bisphosphate ",Metabolite,,,a942c,,,,,,,,,,,,,
,,,,BCL2,GeneProduct,,,aab22,,,,,,,,,,,,,
,,,,SMAD1,GeneProduct,,,abbc3,b7a81,,,,,,,,,,,,
,,,,"Non-homologous 
end joining",Pathway,,,ae56a,,,,,,,,,,,,,
,,,,CoA,Metabolite,,,ae865,f19e4,,,,,,,,,,,,
,,,,Acetyl CoA,Metabolite,,,b3e51,bd0d3,,,,,,,,,,,,
,,,,BMP signalling,Pathway,,,b6134,,,,,,,,,,,,,
,,,,SMARCA5,GeneProduct,,,b6463,e9c40,,,,,,,,,,,,
,,,,LRRC18,GeneProduct,,,b7e8e,,,,,,,,,,,,,
,,,,MYO1C,GeneProduct,,,ba066,e9c40,,,,,,,,,,,,
,JNK1,,,MAPK8,GeneProduct,,,bd671,,,,,,,,,,,,,
,,,,BAZ1B,GeneProduct,,,be93b,e9c40,,,,,,,,,,,,
,,,,RGMB,GeneProduct,,,bfc11,,,,,,,,,,,,,
,,,,KDM4D,GeneProduct,,,c1326,,,,,,,,,,,,,
,,,,RIF1,GeneProduct,,,c1d5c,,,,,,,,,,,,,
,,,,CO2,Metabolite,,,c2313,ffa14,,,,,,,,,,,,
,,,,GDF5,GeneProduct,,,c3312,,,,,,,,,,,,,
,,,,NEO1,GeneProduct,,,c348e,,,,,,,,,,,,,
,,,,MYBBP1A,GeneProduct,,,c5269,e9c40,,,,,,,,,,,,
,,,,BMPR1A,GeneProduct,,,c52f9,,,,,,,,,,,,,
,,,,PCNA,GeneProduct,,,c6ebe,,,,,,,,,,,,,
,,,,SF3B1,GeneProduct,,,c8c58,e9c40,,,,,,,,,,,,
,,,,EIF4ENIF1,GeneProduct,,,c957c,,,,,,,,,,,,,
,,,,apoptosis,Pathway,,,c9c6f,,,,,,,,,,,,,
,,,,ARHGAP22,GeneProduct,,,ca439,,,,,,,,,,,,,
,,,,SMARCC2,GeneProduct,,,cabe1,a7a4f,,,,,,,,,,,,
,,,,DDX21,GeneProduct,,,cb594,e9c40,,,,,,,,,,,,
,,,,C10orf53,GeneProduct,,,cb76e,,,,,,,,,,,,,
,,,,WDFY4,GeneProduct,,,cc142,,,,,,,,,,,,,
,,,,OGDHL,GeneProduct,,,cda8d,ba17f,,,,,,,,,,,,
,,,,CLOCK,GeneProduct,,,cdab4,deaeb,,,,,,,,,,,,
,,,,NLRP3,GeneProduct,,,cea0b,,,,,,,,,,,,,
,,,,PARG,GeneProduct,,,d2959,,,,,,,,,,,,,
,,,,"DNA damage
response",Pathway,,,d3355,,,,,,,,,,,,,
,TMEM273,,,C10orf128,GeneProduct,,,d36aa,,,,,,,,,,,,,
,,,,ERCC5,GeneProduct,,,d39a7,,,,,,,,,,,,,
,CEFIP,,,C10orf71,GeneProduct,,,d7ffd,,,,,,,,,,,,,
,,,,neurite outgrowth,Pathway,,,d99cf,,,,,,,,,,,,,
,,,,ARNTL,GeneProduct,,,da09e,deaeb,,,,,,,,,,,,
,,,,B-WICH chromatin remodelling complex,Complex,,,dae7d,e9c40,,,,,,,,,,,,
,,,,Choline,Metabolite,,,daf9f,bd0d3,,,,,,,,,,,,
,,,,DEK,GeneProduct,,,db061,e9c40,,,,,,,,,,,,
,,,,ERCC6,GeneProduct,,,e6bc5,,,,,,,,,,,,,
,,,,SMAD5,GeneProduct,,,e7625,b7a81,,,,,,,,,,,,
,,,,ELOA,GeneProduct,,,e8772,,,,,,,,,,,,,
,,,,ERCC8,GeneProduct,,,e9490,,,,,,,,,,,,,
,,,,JUND,GeneProduct,,,eab0d,,,,,,,,,,,,,
,,,,DLST,GeneProduct,,,ef117,ba17f,,,,,,,,,,,,
,,,,CHAT,GeneProduct,,,f0ba0,,,,,,,,,,,,,
,,,,"Homologous recombination
(during the S/G2 phases)",Pathway,,,f1e67,,,,,,,,,,,,,
,,,,SLC18A3,GeneProduct,,,f217c,,,,,,,,,,,,,
,,,,SIRT6,GeneProduct,,,f21c6,,,,,,,,,,,,,
,,,,CDH1,GeneProduct,,,f3352,,,,,,,,,,,,,
,,,,CUL5,GeneProduct,,,f6620,,,,,,,,,,,,,
,,,,VSTM4,GeneProduct,,,f6cd7,,,,,,,,,,,,,
,,,,HSF4,GeneProduct,,,f759c,fd9aa,,,,,,,,,,,,
,,,,FRMPD2,GeneProduct,,,f7649,,,,,,,,,,,,,
,,,,BMP2,GeneProduct,,,f885f,,,,,,,,,,,,,
,,,,BMPR1B,GeneProduct,,,f89e8,,,,,,,,,,,,,
,,,,Serotonin,Metabolite,,,fad92,,,,,,,,,,,,,
,,,,DRGX,GeneProduct,,,fbe37,,,,,,,,,,,,,
,,,,SMAD9,GeneProduct,,,fde5a,b7a81,,,,,,,,,,,,
,,,,SMARCB1,GeneProduct,,,fe4e6,a7a4f,,,,,,,,,,,,
,,,,ELK1,GeneProduct,,,ff935,fd9aa,,,,,,,,,,,,
,,,,ATF2,GeneProduct,,,ffe29,,,,,,,,,,,,,
,,,,DLD,GeneProduct,,,b564e,ba17f,,,,,,,,,,,,
,,,,H+,Metabolite,,,a15d9,c8880,,,,,,,,,,,,
,,,,"(R)-N6-(S8-succinyldihydrolipoyl)-L-lysine 
residue",Metabolite,,,f0827,ffa14,,,,,,,,,,,,
,,,,2-oxoglutarate,Metabolite,,,a1001,c8880,,,,,,,,,,,,
,,,,"(R)-N6-lipoyl-L-lysine 
residue",Metabolite,,,a6bae,c8880,,,,,,,,,,,,
,,,,H2O,Metabolite,,,f7b77,aa2e4,,,,,,,,,,,,
,,,,ADP-D-ribose,Metabolite,,,d3db3,c33a8,,,,,,,,,,,,
,,,, 	poly[(1''â†’2')-ADP-Î±-D-ribose],Metabolite,,,daa63,aa2e4,,,,,,,,,,,,
,,,,poly[(1''â†’2')-ADP-Î±-D-ribose],Metabolite,,,d1dfc,c33a8,,,,,,,,,,,,
,,,,Acetylcholine,Metabolite,,,f4c70,,,,,,,,,,,,,
,,,,ERCC6,GeneProduct,,,e6ebd,e9c40,,,,,,,,,,,,
,,,,Serotonin,Metabolite,,,dfdc7,,,,,,,,,,,,,
,,,,Acetylcholine,Metabolite,,,d207c,,,,,,,,,,,,,
,,,,OGDHL,GeneProduct,,,bc6d6,,,,,,,,,,,,,
,,,,,,,,id124776ae,,e7a,,,,,,,,,,,
,,,,,,,,id16380037,,a0d,,,,,,,,,,,
,,,,,,,,id1acdfa5b,,bb1,,,,,,,,,,,
,,,,,,,,id2a64d7eb,,,,,,,,,,,,,
,,,,,,,,id2dd06ac3,,cf7,,,,,,,,,,,
,,,,,,,,id37e61a95,,fc4,,,,,,,,,,,
,,,,,,,,id3dac73af,,b33,,,,,,,,,,,
,,,,,,,,id3e36a648,,b33,,,,,,,,,,,
,,,,,,,,id58ff2164,,bbf,,,,,,,,,,,
,,,,,,,,id5cf4b94c,,fb6,,,,,,,,,,,
,,,,,,,,id5fc858fb,,cf7,,,,,,,,,,,
,,,,,,,,id621b4164,,cea,,,,,,,,,,,
,,,,,,,,id642948bd,,faa,,,,,,,,,,,
,,,,,,,,id6503d260,,bb1,,,,,,,,,,,
,,,,,,,,id669da912,,c2c,,,,,,,,,,,
,,,,,,,,id7e2429d9,,a29,,,,,,,,,,,
,,,,,,,,id8183fd41,,de6,,,,,,,,,,,
,,,,,,,,id82c23bc0,,,,,,,,,,,,,
,,,,,,,,id831f5252,,afc,,,,,,,,,,,
,,,,,,,,id897a4ce5,,f39,,,,,,,,,,,
,,,,,,,,id89822184,,d5a,,,,,,,,,,,
,,,,,,,,id8a1c4742,,af6,,,,,,,,,,,
,,,,,,,,id90ed98e7,,dd6,,,,,,,,,,,
,,,,,,,,id975199a0,,,,,,,,,,,,,
,,,,,,,,id9921ab76,,,,,,,,,,,,,
,,,,,,,,id9a03979a,,,,,,,,,,,,,
,,,,,,,,id9aad27ad,,c2c,,,,,,,,,,,
,,,,,,,,ida1b11198,,,,,,,,,,,,,
,,,,,,,,ida52cd,,a80,,,,,,,,,,,
,,,,,,,,ida7e4d347,,f36,,,,,,,,,,,
,,,,,,,,idaff6d32d,,fc4,,,,,,,,,,,
,,,,,,,,idb5c18b9f,,a0d,,,,,,,,,,,
,,,,,,,,idba572b72,,,,,,,,,,,,,
,,,,,,,,idbaaf4df1,,d71,,,,,,,,,,,
,,,,,,,,idc468e335,,a22,,,,,,,,,,,
,,,,,,,,idc7a38954,,b8b,,,,,,,,,,,
,,,,,,,,idcb86ce0a,,f39,,,,,,,,,,,
,,,,,,,,idd0467c02,,ac2,,,,,,,,,,,
,,,,,,,,idd8b559c6,,ac1,,,,,,,,,,,
,,,,,,,,iddb0e57e3,,ab4,,,,,,,,,,,
,,,,,,,,iddc8c34f9,,,,,,,,,,,,,
,,,,,,,,iddded65b0,,d7b,,,,,,,,,,,
,,,,,,,,iddf3fe8d5,,e01,,,,,,,,,,,
,,,,,,,,ide0885bc3,,b5c,,,,,,,,,,,
,,,,,,,,ide285acaa,,f20,,,,,,,,,,,
,,,,,,,,ide3d68ca1,,,,,,,,,,,,,
,,,,,,,,ide8af1a6e,,c0f,,,,,,,,,,,
,,,,,,,,ide8d4f675,,af6,,,,,,,,,,,
,,,,,,,,ide93205a1,,,,,,,,,,,,,
,,,,,,,,ide9de4542,,,,,,,,,,,,,
,,,,,,,,idef6d795c,,b33,,,,,,,,,,,
,,,,,,,,idf4759d36,,ca8,,,,,,,,,,,
,,,,,,,,idf884083e,,de6,,,,,,,,,,,
,,,,,,,,idfa2cc7c9,,d21,,,,,,,,,,,
,,,,,,,,idfb6cdb8e,,,,,,,,,,,,,
,,,,,,,,idfe4d98f4,,a2e,,,,,,,,,,,
,,,,,,,,d8015,,dd6,,,,,,,,,,,
,,,,,,,,a25ca,,fa8,,,,,,,,,,,
,,,,,,,,bf3d3,,d04,,,,,,,,,,,
,,,,,,,,eb9f1,,f39,,,,,,,,,,,
,,,,,,,,f0d37,,ca8,,,,,,,,,,,
,,,,,,,,da5b7,,afc,,,,,,,,,,,
,,,,,,,,f9d65,,,,,,,,,,,,,
,,,,,,,,a7c60,,,,,,,,,,,,,
,,,,,,,,id3550c08a,,,,,,,,,,,,,
,,,,"chondrogenic tissue 
differentiation",,,,bb579,,,,,,,,,,,,,
,,,,"involved in
immune system",,,,d1cea,,c61,,,,,,,,,,,
,,,,"chr10:51,058,796
",,,,dcf38,,,,,,,,,,,,,
,,,,unknown function,,,,e7a3a,,,,,,,,,,,,,
,,,,"chr10:49,390,199
",,,,f20fc,,,,,,,,,,,,,
,,,,unknown function,,,,f76c8,,,,,,,,,,,,,
